Player ID,Season ID,Experience
1630695,2021-22,1
1630696,2023-24,2
1630696,2022-23,1
1630699,2023-24,2
1630699,2022-23,1
1630700,2023-24,2
1630700,2022-23,1
1630702,2023-24,2
1630702,2022-23,1
1630703,2023-24,1
1630792,2023-24,2
1630792,2022-23,2
1630792,2021-22,1
1630846,2023-24,3
1630846,2022-23,2
1630846,2021-22,1
708,2023-24,21
708,2022-23,21
708,2021-22,21
708,2020-21,21
708,2019-20,21
708,2018-19,21
708,2017-18,21
708,2016-17,21
708,2015-16,21
1630929,2023-24,1
1630994,2023-24,1
1630994,2022-23,1
1630994,2021-22,1
1631093,2023-24,2
1631093,2022-23,1
1631094,2023-24,2
1631094,2022-23,1
1631095,2023-24,2
1631095,2022-23,1
1631096,2023-24,1
1631097,2023-24,2
1631097,2022-23,1
1631098,2023-24,2
1631098,2022-23,1
1631099,2023-24,2
1631099,2022-23,1
1631100,2023-24,2
1631100,2022-23,1
1631101,2023-24,2
1631101,2022-23,1
1631102,2023-24,2
1631102,2022-23,1
1631103,2023-24,2
1631103,2022-23,1
1631104,2023-24,2
1631104,2022-23,1
1631105,2023-24,2
1631105,2022-23,1
1631106,2023-24,2
1631106,2022-23,1
1631107,2023-24,2
1631107,2022-23,1
1631108,2023-24,2
1631108,2022-23,1
1631109,2023-24,2
1631109,2022-23,1
1631110,2023-24,2
1631110,2022-23,1
1631111,2023-24,2
1631111,2022-23,1
1631112,2023-24,2
1631112,2022-23,1
1631114,2023-24,2
1631114,2022-23,1
1631115,2023-24,2
1631115,2022-23,1
1631116,2023-24,2
1631116,2022-23,1
1631117,2023-24,2
1631117,2022-23,1
1631119,2023-24,2
1631119,2022-23,1
1631120,2023-24,2
1631120,2022-23,1
1631121,2023-24,2
1631121,2022-23,1
1631123,2023-24,2
1631123,2022-23,1
1631124,2023-24,1
1631128,2023-24,2
1631128,2022-23,1
1631131,2023-24,1
1631132,2023-24,1
1631132,2022-23,1
1631133,2023-24,2
1631133,2022-23,1
1631157,2023-24,2
1631157,2022-23,1
1631159,2023-24,1
1631165,2023-24,2
1631165,2022-23,1
1631169,2023-24,2
1631169,2022-23,1
1631170,2023-24,1
1631172,2023-24,2
1631172,2022-23,1
1631173,2023-24,1
977,2023-24,20
977,2022-23,20
977,2021-22,20
977,2020-21,20
977,2019-20,20
977,2018-19,20
977,2017-18,20
977,2016-17,20
977,2015-16,20
1631197,2023-24,2
1631197,2022-23,1
1631199,2023-24,2
1631199,2022-23,1
1631200,2023-24,1
1631204,2023-24,1
1631205,2023-24,2
1631205,2022-23,1
1631207,2023-24,2
1631207,2022-23,1
1631209,2023-24,1
1631210,2023-24,1
1631211,2023-24,1
1631211,2022-23,1
1631212,2023-24,2
1631212,2022-23,1
1631213,2023-24,1
1631213,2022-23,1
1631214,2023-24,2
1631214,2022-23,1
1631216,2023-24,2
1631216,2022-23,1
1631217,2023-24,2
1631217,2022-23,1
1631218,2023-24,1
1631219,2023-24,1
1631219,2022-23,1
1631220,2023-24,2
1631220,2022-23,1
1631221,2023-24,1
1631222,2023-24,2
1631222,2022-23,1
1631223,2023-24,2
1631223,2022-23,1
1631230,2023-24,2
